# dataset=imagenette px=64 epochs=50 seed=2 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muon,49,0.0559,88.25,0.4860,1801.3,0.02
muon,50,0.0577,88.89,0.4679,1838.1,0.02
muonsam,1,1.4258,57.66,1.5861,36.6,0.02
muonsam,2,0.9106,67.77,1.0961,73.4,0.02
muonsam,3,0.7272,78.04,0.7010,110.1,0.02
muonsam,4,0.6084,77.07,0.7584,146.9,0.02
muonsam,5,0.5196,79.36,0.6881,183.6,0.02
muonsam,6,0.4580,80.97,0.6192,220.4,0.02
muonsam,7,0.3974,81.50,0.5926,257.2,0.02
muonsam,8,0.3574,85.48,0.4833,294.0,0.02
muonsam,9,0.3129,84.13,0.5274,330.7,0.02
muonsam,10,0.2925,85.99,0.4684,367.5,0.02
muonsam,11,0.2472,84.97,0.5132,404.2,0.02
muonsam,12,0.2301,85.71,0.4834,441.0,0.02
muonsam,13,0.2315,84.79,0.5217,477.8,0.02
muonsam,14,0.2089,86.90,0.4774,514.5,0.02
muonsam,15,0.1878,84.64,0.4947,551.3,0.02
muonsam,16,0.1748,87.57,0.4101,597.9,0.02
muonsam,17,0.1690,87.52,0.3842,645.0,0.02
muonsam,18,0.1708,88.97,0.3476,692.2,0.02
muonsam,19,0.1878,89.63,0.3268,739.4,0.02
muonsam,20,0.1887,88.41,0.3619,786.6,0.02
muonsam,21,0.1804,88.76,0.3531,833.4,0.02
muonsam,22,0.1767,90.04,0.3252,880.6,0.02
muonsam,23,0.1532,90.09,0.3267,927.8,0.02
muonsam,24,0.1507,89.20,0.3491,975.0,0.02
muonsam,25,0.1357,89.32,0.3395,1022.3,0.02
muonsam,26,0.1395,88.99,0.3608,1069.0,0.02
muonsam,27,0.1300,87.62,0.4028,1116.1,0.02
muonsam,28,0.1046,88.76,0.3522,1163.4,0.02
muonsam,29,0.1212,89.94,0.3209,1210.5,0.02
muonsam,30,0.1031,90.45,0.3022,1257.7,0.02
muonsam,31,0.0997,89.76,0.3222,1304.5,0.02
muonsam,32,0.0983,89.91,0.3237,1351.7,0.02
muonsam,33,0.0923,88.79,0.3498,1398.9,0.02
muonsam,34,0.0958,90.50,0.3073,1446.1,0.02
muonsam,35,0.0914,89.55,0.3354,1493.3,0.02
muonsam,36,0.0904,90.65,0.2959,1540.1,0.02
muonsam,37,0.0776,90.52,0.3082,1587.4,0.02
muonsam,38,0.0803,90.98,0.2979,1634.6,0.02
muonsam,39,0.0730,90.90,0.2948,1681.8,0.02
muonsam,40,0.0791,90.90,0.2885,1729.1,0.02
muonsam,41,0.0771,89.94,0.3134,1775.8,0.02
muonsam,42,0.0779,90.17,0.3103,1823.0,0.02
muonsam,43,0.0702,90.19,0.3183,1870.2,0.02
muonsam,44,0.0619,89.30,0.3359,1917.4,0.02
muonsam,45,0.0661,90.34,0.3048,1964.7,0.02
muonsam,46,0.0689,90.62,0.2989,2011.4,0.02
muonsam,47,0.0692,90.96,0.2976,2058.6,0.02
muonsam,48,0.0626,90.45,0.3025,2105.8,0.02
muonsam,49,0.0650,89.68,0.3311,2153.0,0.02
muonsam,50,0.0630,90.62,0.2977,2200.1,0.02
