# dataset=cifar10 px=32 epochs=50 seed=0 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam_gsam,26,0.0708,93.09,0.2256,2334.6,0.02
muonsam_gsam,27,0.0720,93.53,0.2140,2448.6,0.02
muonsam_gsam,28,0.0688,93.32,0.2139,2562.6,0.02
muonsam_gsam,29,0.0678,92.99,0.2249,2676.6,0.02
muonsam_gsam,30,0.0665,93.46,0.2103,2790.7,0.02
muonsam_gsam,31,0.0641,93.42,0.2147,2904.5,0.02
muonsam_gsam,32,0.0637,93.17,0.2193,3018.5,0.02
muonsam_gsam,33,0.0611,93.68,0.2069,3132.2,0.02
muonsam_gsam,34,0.0589,93.72,0.2068,3245.9,0.02
muonsam_gsam,35,0.0598,93.50,0.2195,3359.7,0.02
muonsam_gsam,36,0.0579,93.75,0.2112,3473.3,0.02
muonsam_gsam,37,0.0575,93.80,0.1971,3586.8,0.02
muonsam_gsam,38,0.0549,93.72,0.2090,3700.3,0.02
muonsam_gsam,39,0.0558,93.79,0.2080,3813.7,0.02
muonsam_gsam,40,0.0562,93.33,0.2174,3927.1,0.02
muonsam_gsam,41,0.0538,93.70,0.2011,4040.5,0.02
muonsam_gsam,42,0.0524,93.69,0.2040,4153.5,0.02
muonsam_gsam,43,0.0541,93.45,0.2126,4266.7,0.02
muonsam_gsam,44,0.0510,93.45,0.2122,4379.8,0.02
muonsam_gsam,45,0.0501,93.78,0.1992,4492.8,0.02
muonsam_gsam,46,0.0489,93.94,0.2003,4605.7,0.02
muonsam_gsam,47,0.0485,93.92,0.1937,4718.6,0.02
muonsam_gsam,48,0.0519,93.95,0.1966,4831.1,0.02
muonsam_gsam,49,0.0497,94.09,0.2024,4943.7,0.02
muonsam_gsam,50,0.0499,93.99,0.1958,5056.4,0.02
muonsam_asam,1,1.0490,73.76,0.7715,72.0,0.02
muonsam_asam,2,0.5510,82.14,0.5263,144.2,0.02
muonsam_asam,3,0.4185,83.11,0.5042,216.1,0.02
muonsam_asam,4,0.3456,86.31,0.4322,288.3,0.02
muonsam_asam,5,0.2910,89.17,0.3290,360.5,0.02
muonsam_asam,6,0.2480,89.60,0.3245,432.7,0.02
muonsam_asam,7,0.2176,89.57,0.3222,504.9,0.02
muonsam_asam,8,0.1941,88.89,0.3475,577.1,0.02
muonsam_asam,9,0.1728,90.70,0.3024,649.3,0.02
muonsam_asam,10,0.1454,90.29,0.3285,721.5,0.02
muonsam_asam,11,0.1340,91.43,0.2996,793.5,0.02
muonsam_asam,12,0.1250,91.24,0.3108,865.5,0.02
muonsam_asam,13,0.1097,91.30,0.3196,937.7,0.02
muonsam_asam,14,0.1042,91.39,0.3298,1010.0,0.02
muonsam_asam,15,0.0963,91.40,0.3179,1082.1,0.02
muonsam_asam,16,0.0891,92.40,0.2363,1191.3,0.02
muonsam_asam,17,0.0968,92.17,0.2309,1300.7,0.02
muonsam_asam,18,0.0951,92.99,0.2146,1410.1,0.02
muonsam_asam,19,0.0943,93.25,0.2124,1519.4,0.02
muonsam_asam,20,0.0899,93.43,0.2037,1628.8,0.02
muonsam_asam,21,0.0882,93.46,0.2063,1738.2,0.02
muonsam_asam,22,0.0868,93.67,0.2026,1847.4,0.02
muonsam_asam,23,0.0877,93.52,0.2060,1956.6,0.02
muonsam_asam,24,0.0781,93.23,0.2134,2066.0,0.02
muonsam_asam,25,0.0763,93.77,0.2006,2175.3,0.02
muonsam_asam,26,0.0728,93.74,0.1997,2284.8,0.02
muonsam_asam,27,0.0727,93.91,0.1971,2394.1,0.02
muonsam_asam,28,0.0656,93.96,0.2026,2503.4,0.02
muonsam_asam,29,0.0640,93.92,0.1928,2612.7,0.02
muonsam_asam,30,0.0612,93.96,0.1968,2722.0,0.02
muonsam_asam,31,0.0574,93.94,0.2040,2831.2,0.02
muonsam_asam,32,0.0474,93.81,0.2105,2940.4,0.02
muonsam_asam,33,0.0389,93.64,0.2170,3049.7,0.02
muonsam_asam,34,0.0342,93.67,0.2299,3159.0,0.02
muonsam_asam,35,0.0335,93.75,0.2257,3268.2,0.02
muonsam_asam,36,0.0314,93.57,0.2485,3377.3,0.02
muonsam_asam,37,0.0304,93.61,0.2265,3486.5,0.02
muonsam_asam,38,0.0295,93.57,0.2481,3595.7,0.02
muonsam_asam,39,0.0286,93.35,0.2644,3705.0,0.02
muonsam_asam,40,0.0299,93.03,0.2869,3814.4,0.02
muonsam_asam,41,0.0281,93.76,0.2533,3923.6,0.02
muonsam_asam,42,0.0279,93.63,0.2439,4032.8,0.02
muonsam_asam,43,0.0290,93.64,0.2667,4142.0,0.02
muonsam_asam,44,0.0257,93.69,0.2740,4251.4,0.02
muonsam_asam,45,0.0260,93.18,0.2840,4360.7,0.02
muonsam_asam,46,0.0234,93.66,0.2570,4469.9,0.02
muonsam_asam,47,0.0248,93.55,0.2667,4579.1,0.02
muonsam_asam,48,0.0252,93.52,0.2685,4688.3,0.02
muonsam_asam,49,0.0249,93.74,0.2601,4797.8,0.02
muonsam_asam,50,0.0253,93.64,0.2673,4907.2,0.02
