# dataset=imagenette px=64 epochs=50 seed=1 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,time_s,lr
sam,36,0.3470,83.54,2159.2,0.05
sam,37,0.3261,84.23,2219.0,0.05
sam,38,0.3134,82.62,2279.0,0.05
sam,39,0.3144,82.93,2339.1,0.05
sam,40,0.3049,87.06,2399.2,0.05
sam,41,0.2947,84.48,2459.3,0.05
sam,42,0.2881,86.32,2519.2,0.05
sam,43,0.2829,82.96,2579.0,0.05
sam,44,0.2700,84.66,2638.8,0.05
sam,45,0.2611,84.76,2698.7,0.05
sam,46,0.2590,85.12,2758.8,0.05
sam,47,0.2640,84.97,2818.7,0.05
sam,48,0.2582,85.58,2878.5,0.05
sam,49,0.2492,85.15,2938.2,0.05
sam,50,0.2225,87.24,2998.1,0.05
