optimizer,epoch,train_loss,test_acc,time_s
muonsam_nomom,13,0.1457,90.35,933.0
muonsam_nomom,14,0.1387,90.66,1004.9
muonsam_nomom,15,0.1269,90.03,1076.8
muonsam_nomom,16,0.1476,91.37,1180.8
muonsam_nomom,17,0.1677,90.99,1284.8
muonsam_nomom,18,0.1685,90.91,1388.7
muonsam_nomom,19,0.1710,90.52,1492.7
muonsam_nomom,20,0.1713,90.79,1596.7
muonsam_nomom,21,0.1655,91.35,1700.7
muonsam_nomom,22,0.1701,90.89,1804.2
muonsam_nomom,23,0.1629,91.45,1908.1
muonsam_nomom,24,0.1596,91.03,2011.9
muonsam_nomom,25,0.1603,91.46,2115.5
muonsam_nomom,26,0.1593,92.00,2219.0
muonsam_nomom,27,0.1506,92.04,2322.6
muonsam_nomom,28,0.1463,92.05,2426.1
muonsam_nomom,29,0.1472,91.84,2529.6
muonsam_nomom,30,0.1365,92.58,2633.2
muonsam_nomom,31,0.1374,92.13,2736.8
muonsam_nomom,32,0.1318,92.00,2840.3
muonsam_nomom,33,0.1296,91.90,2943.7
muonsam_nomom,34,0.1295,91.92,3047.1
muonsam_nomom,35,0.1245,92.81,3150.6
muonsam_nomom,36,0.1176,92.60,3253.9
muonsam_nomom,37,0.1179,92.70,3357.2
muonsam_nomom,38,0.1158,93.07,3460.5
muonsam_nomom,39,0.1123,92.73,3563.9
muonsam_nomom,40,0.1094,92.25,3667.3
muonsam_nomom,41,0.1058,92.88,3770.6
muonsam_nomom,42,0.1094,92.67,3873.8
muonsam_nomom,43,0.1061,93.00,3976.9
muonsam_nomom,44,0.0999,92.94,4080.1
muonsam_nomom,45,0.0967,93.07,4183.3
muonsam_nomom,46,0.0942,92.74,4286.5
muonsam_nomom,47,0.0929,93.08,4389.6
muonsam_nomom,48,0.0874,93.01,4492.9
muonsam_nomom,49,0.0912,92.84,4596.2
muonsam_nomom,50,0.0854,93.39,4699.5
muonsam,1,1.0488,73.49,72.1
muonsam,2,0.5507,83.04,144.2
muonsam,3,0.4154,84.16,216.6
muonsam,4,0.3370,86.27,289.2
muonsam,5,0.2893,88.31,361.6
muonsam,6,0.2453,89.15,433.8
muonsam,7,0.2145,89.51,506.0
muonsam,8,0.1860,89.81,578.1
muonsam,9,0.1679,90.07,650.4
muonsam,10,0.1482,90.39,722.8
muonsam,11,0.1328,91.31,795.3
muonsam,12,0.1209,91.19,867.9
muonsam,13,0.1131,91.46,940.5
muonsam,14,0.1057,91.69,1012.9
muonsam,15,0.0928,91.91,1085.1
muonsam,16,0.0823,92.36,1193.7
muonsam,17,0.0870,92.63,1302.6
muonsam,18,0.0823,91.96,1411.5
muonsam,19,0.0758,93.26,1520.4
muonsam,20,0.0713,93.40,1629.4
muonsam,21,0.0657,92.78,1738.2
muonsam,22,0.0640,92.61,1847.3
muonsam,23,0.0600,92.54,1956.2
muonsam,24,0.0593,93.12,2065.0
muonsam,25,0.0545,93.26,2174.1
muonsam,26,0.0535,93.47,2282.9
muonsam,27,0.0511,92.85,2391.9
muonsam,28,0.0499,93.24,2501.1
