optimizer,epoch,train_loss,test_acc,time_s
sam,30,0.2109,89.59,2816.8
sam,31,0.2105,89.42,2910.0
sam,32,0.2063,87.75,3003.5
sam,33,0.1990,88.83,3097.0
sam,34,0.1960,89.69,3190.5
sam,35,0.1953,88.09,3284.0
sam,36,0.1926,90.14,3377.7
sam,37,0.1941,89.80,3471.2
sam,38,0.1841,89.24,3564.8
sam,39,0.1866,88.43,3658.4
sam,40,0.1857,90.89,3752.0
sam,41,0.1795,89.66,3845.6
sam,42,0.1820,90.02,3939.1
sam,43,0.1771,89.87,4032.8
sam,44,0.1791,91.34,4126.7
sam,45,0.1722,90.45,4220.5
sam,46,0.1727,90.36,4314.2
sam,47,0.1724,89.12,4407.4
sam,48,0.1720,91.01,4500.1
sam,49,0.1665,90.20,4593.1
sam,50,0.1698,89.13,4686.4
muon,1,1.0449,74.22,74.1
muon,2,0.5491,83.24,147.7
muon,3,0.4179,82.22,221.5
muon,4,0.3433,85.66,295.4
muon,5,0.2931,88.41,369.2
muon,6,0.2479,89.07,443.1
muon,7,0.2149,88.87,517.1
muon,8,0.1934,90.00,591.2
muon,9,0.1691,90.15,665.3
muon,10,0.1481,90.68,739.2
muon,11,0.1356,90.87,813.0
muon,12,0.1233,91.06,886.6
muon,13,0.1088,91.23,960.1
muon,14,0.1030,91.14,1033.7
muon,15,0.0935,91.73,1107.5
muon,16,0.0882,91.11,1181.6
muon,17,0.0818,91.96,1255.4
muon,18,0.0759,92.11,1329.3
muon,19,0.0709,92.51,1403.3
muon,20,0.0660,92.22,1477.5
muon,21,0.0645,92.18,1551.5
muon,22,0.0638,92.04,1625.4
muon,23,0.0562,92.37,1699.0
muon,24,0.0542,92.35,1772.9
muon,25,0.0533,92.57,1846.9
muon,26,0.0491,92.56,1920.9
muon,27,0.0478,92.49,1994.9
muon,28,0.0453,92.32,2069.0
muon,29,0.0450,92.43,2143.0
muon,30,0.0441,92.23,2216.8
muon,31,0.0420,92.37,2290.6
muon,32,0.0393,92.83,2364.3
muon,33,0.0403,92.38,2438.0
muon,34,0.0354,92.85,2511.7
muon,35,0.0377,92.22,2585.6
muon,36,0.0352,92.96,2659.4
muon,37,0.0344,92.91,2733.3
muon,38,0.0330,93.07,2807.3
muon,39,0.0326,92.98,2881.4
muon,40,0.0328,92.96,2955.6
muon,41,0.0306,92.78,3029.4
muon,42,0.0325,93.20,3103.4
muon,43,0.0296,93.13,3177.6
muon,44,0.0285,92.84,3251.7
muon,45,0.0294,92.84,3325.7
muon,46,0.0299,92.89,3399.8
muon,47,0.0282,92.82,3473.9
muon,48,0.0255,92.72,3547.9
muon,49,0.0274,93.21,3622.0
muon,50,0.0247,92.62,3696.0
muon_nomom,1,1.1773,69.67,73.4
muon_nomom,2,0.6420,79.18,147.2
muon_nomom,3,0.4901,80.83,220.9
muon_nomom,4,0.3979,85.01,294.6
muon_nomom,5,0.3399,86.68,368.3
muon_nomom,6,0.2952,86.77,442.1
muon_nomom,7,0.2612,87.76,515.8
muon_nomom,8,0.2361,88.79,589.5
muon_nomom,9,0.2129,89.22,663.0
muon_nomom,10,0.1877,89.18,736.5
muon_nomom,11,0.1739,89.56,810.0
muon_nomom,12,0.1595,90.23,883.4
muon_nomom,13,0.1467,88.81,956.9
muon_nomom,14,0.1370,89.68,1030.3
muon_nomom,15,0.1254,90.63,1103.7
muon_nomom,16,0.1153,90.30,1177.0
muon_nomom,17,0.1060,90.33,1250.4
muon_nomom,18,0.1000,90.94,1323.6
muon_nomom,19,0.0936,90.51,1396.9
muon_nomom,20,0.0904,91.09,1470.3
muon_nomom,21,0.0826,90.58,1543.6
muon_nomom,22,0.0802,90.15,1617.1
muon_nomom,23,0.0764,90.95,1690.5
muon_nomom,24,0.0720,91.23,1764.1
muon_nomom,25,0.0699,91.27,1837.6
muon_nomom,26,0.0674,91.52,1911.1
muon_nomom,27,0.0622,91.26,1984.4
muon_nomom,28,0.0631,91.45,2057.8
muon_nomom,29,0.0602,90.66,2131.3
muon_nomom,30,0.0588,90.16,2204.8
muon_nomom,31,0.0557,90.59,2278.3
muon_nomom,32,0.0557,90.96,2351.7
muon_nomom,33,0.0530,90.81,2425.0
muon_nomom,34,0.0529,91.05,2498.1
muon_nomom,35,0.0495,91.13,2571.3
muon_nomom,36,0.0486,91.19,2644.6
muon_nomom,37,0.0470,91.39,2717.9
muon_nomom,38,0.0438,91.67,2791.2
muon_nomom,39,0.0455,91.35,2864.4
muon_nomom,40,0.0448,91.03,2937.6
muon_nomom,41,0.0452,91.39,3010.8
muon_nomom,42,0.0442,91.09,3083.9
muon_nomom,43,0.0409,90.36,3157.1
muon_nomom,44,0.0442,90.99,3230.3
muon_nomom,45,0.0404,91.58,3303.5
muon_nomom,46,0.0420,91.90,3376.8
muon_nomom,47,0.0390,91.77,3449.9
muon_nomom,48,0.0400,91.63,3523.2
muon_nomom,49,0.0359,91.57,3596.4
muon_nomom,50,0.0364,91.46,3669.7
muonsam_nomom,1,1.1818,68.78,73.2
muonsam_nomom,2,0.6432,79.47,146.6
muonsam_nomom,3,0.4873,82.26,220.0
muonsam_nomom,4,0.3980,84.93,293.3
muonsam_nomom,5,0.3385,86.25,366.7
muonsam_nomom,6,0.2935,87.02,440.1
muonsam_nomom,7,0.2611,87.74,513.5
muonsam_nomom,8,0.2357,88.41,586.8
muonsam_nomom,9,0.2109,89.42,660.2
muonsam_nomom,10,0.1885,89.77,733.4
muonsam_nomom,11,0.1708,89.85,806.6
muonsam_nomom,12,0.1623,89.21,879.7
muonsam_nomom,13,0.1469,89.31,952.8
muonsam_nomom,14,0.1356,88.74,1026.0
muonsam_nomom,15,0.1266,90.47,1099.4
muonsam_nomom,16,0.1454,90.96,1205.4
muonsam_nomom,17,0.1676,90.15,1311.5
muonsam_nomom,18,0.1668,90.87,1417.5
muonsam_nomom,19,0.1695,90.65,1523.5
muonsam_nomom,20,0.1727,91.46,1629.9
muonsam_nomom,21,0.1698,90.59,1736.0
muonsam_nomom,22,0.1719,91.58,1842.1
muonsam_nomom,23,0.1673,91.66,1948.3
muonsam_nomom,24,0.1635,91.57,2054.4
muonsam_nomom,25,0.1590,91.44,2160.5
muonsam_nomom,26,0.1559,91.82,2266.5
muonsam_nomom,27,0.1476,91.32,2372.5
muonsam_nomom,28,0.1508,92.06,2478.6
muonsam_nomom,29,0.1414,91.80,2584.5
muonsam_nomom,30,0.1419,92.17,2690.7
muonsam_nomom,31,0.1380,92.24,2796.5
muonsam_nomom,32,0.1351,92.45,2902.5
muonsam_nomom,33,0.1311,92.24,3008.5
muonsam_nomom,34,0.1295,92.38,3114.3
muonsam_nomom,35,0.1252,92.27,3220.4
muonsam_nomom,36,0.1231,92.28,3326.1
muonsam_nomom,37,0.1221,92.79,3432.2
muonsam_nomom,38,0.1183,92.98,3538.4
muonsam_nomom,39,0.1098,92.78,3644.1
muonsam_nomom,40,0.1100,92.98,3749.9
muonsam_nomom,41,0.1088,93.26,3855.3
muonsam_nomom,42,0.1076,92.98,3960.5
muonsam_nomom,43,0.1035,92.57,4065.5
muonsam_nomom,44,0.0993,92.80,4170.4
muonsam_nomom,45,0.0952,93.07,4275.8
muonsam_nomom,46,0.0948,92.90,4380.8
muonsam_nomom,47,0.0932,92.97,4486.2
muonsam_nomom,48,0.0930,92.57,4591.2
muonsam_nomom,49,0.0861,93.13,4696.0
muonsam_nomom,50,0.0879,93.01,4801.3
muonsam,1,1.0431,74.73,73.7
muonsam,2,0.5506,82.62,147.7
muonsam,3,0.4161,83.50,221.8
muonsam,4,0.3427,86.21,295.8
muonsam,5,0.2896,88.37,369.8
muonsam,6,0.2456,89.96,443.9
muonsam,7,0.2161,89.89,518.0
muonsam,8,0.1913,89.97,592.2
muonsam,9,0.1712,90.35,666.3
muonsam,10,0.1453,90.60,740.3
muonsam,11,0.1335,90.97,814.3
muonsam,12,0.1255,90.76,888.3
muonsam,13,0.1121,90.42,962.2
muonsam,14,0.1036,91.38,1036.1
muonsam,15,0.0963,91.48,1110.0
muonsam,16,0.0855,91.90,1221.5
muonsam,17,0.0888,92.63,1332.5
muonsam,18,0.0828,93.05,1443.9
muonsam,19,0.0773,92.54,1555.5
muonsam,20,0.0709,92.93,1667.1
muonsam,21,0.0672,92.87,1778.9
muonsam,22,0.0668,92.62,1890.6
muonsam,23,0.0640,93.28,2002.3
muonsam,24,0.0577,93.36,2114.0
muonsam,25,0.0561,93.28,2225.8
muonsam,26,0.0526,93.11,2337.2
muonsam,27,0.0493,93.07,2448.7
muonsam,28,0.0471,93.46,2560.2
muonsam,29,0.0481,93.36,2671.8
muonsam,30,0.0441,93.57,2783.4
muonsam,31,0.0417,93.07,2894.9
muonsam,32,0.0416,93.48,3006.5
muonsam,33,0.0415,93.71,3118.1
muonsam,34,0.0388,93.35,3229.6
muonsam,35,0.0361,93.75,3341.2
muonsam,36,0.0395,93.18,3452.7
muonsam,37,0.0374,93.72,3564.1
muonsam,38,0.0342,93.77,3675.7
muonsam,39,0.0329,93.61,3787.2
muonsam,40,0.0341,93.79,3898.9
muonsam,41,0.0323,93.61,4010.3
muonsam,42,0.0316,93.31,4121.0
muonsam,43,0.0298,93.48,4231.8
muonsam,44,0.0291,93.61,4342.5
muonsam,45,0.0277,93.81,4453.4
muonsam,46,0.0266,93.72,4564.1
muonsam,47,0.0274,93.84,4674.9
muonsam,48,0.0258,94.00,4785.7
muonsam,49,0.0246,94.04,4896.3
muonsam,50,0.0239,93.89,5007.0
