# dataset=cifar100 epochs=50 seed=0 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,time_s,lr
muonsam,37,0.0581,73.55,3492.4,0.02
muonsam,38,0.0574,74.02,3601.5,0.02
muonsam,39,0.0544,73.56,3710.7,0.02
muonsam,40,0.0538,73.63,3820.1,0.02
muonsam,41,0.0500,74.17,3929.3,0.02
muonsam,42,0.0485,73.64,4038.6,0.02
muonsam,43,0.0473,73.77,4148.0,0.02
muonsam,44,0.0452,74.02,4257.2,0.02
muonsam,45,0.0440,73.64,4366.7,0.02
muonsam,46,0.0427,73.93,4476.0,0.02
muonsam,47,0.0418,74.31,4585.3,0.02
muonsam,48,0.0399,74.28,4694.5,0.02
muonsam,49,0.0383,74.54,4803.9,0.02
muonsam,50,0.0395,74.41,4913.4,0.02
adamw,1,3.6482,21.06,47.9,0.001
adamw,2,2.8147,32.84,96.0,0.001
adamw,3,2.2971,42.24,144.1,0.001
adamw,4,1.9641,45.11,191.9,0.001
adamw,5,1.7192,48.63,239.6,0.001
adamw,6,1.5480,52.86,287.3,0.001
adamw,7,1.3905,53.36,335.0,0.001
adamw,8,1.2699,57.67,382.9,0.001
adamw,9,1.1629,59.33,430.7,0.001
adamw,10,1.0600,60.95,478.7,0.001
adamw,11,0.9711,60.67,526.8,0.001
adamw,12,0.8934,62.72,574.4,0.001
adamw,13,0.8128,63.38,622.1,0.001
adamw,14,0.7365,63.13,670.2,0.001
adamw,15,0.6774,64.97,718.2,0.001
adamw,16,0.6162,63.82,766.0,0.001
adamw,17,0.5526,65.20,813.8,0.001
adamw,18,0.5016,66.03,861.6,0.001
adamw,19,0.4483,65.83,909.6,0.001
adamw,20,0.4064,66.42,957.6,0.001
adamw,21,0.3622,66.06,1005.7,0.001
adamw,22,0.3416,66.67,1053.7,0.001
adamw,23,0.3021,66.68,1101.6,0.001
adamw,24,0.2775,66.65,1149.6,0.001
adamw,25,0.2567,66.38,1197.4,0.001
adamw,26,0.2401,66.56,1245.0,0.001
adamw,27,0.2201,66.83,1293.1,0.001
adamw,28,0.2056,67.08,1340.8,0.001
adamw,29,0.1858,65.98,1388.4,0.001
adamw,30,0.1808,66.45,1436.2,0.001
adamw,31,0.1709,66.78,1484.0,0.001
adamw,32,0.1672,67.16,1531.7,0.001
adamw,33,0.1525,67.07,1579.8,0.001
adamw,34,0.1466,67.96,1627.5,0.001
adamw,35,0.1422,67.03,1675.5,0.001
adamw,36,0.1326,67.30,1723.4,0.001
adamw,37,0.1390,65.96,1771.3,0.001
adamw,38,0.1183,67.43,1819.0,0.001
adamw,39,0.1197,67.24,1867.1,0.001
adamw,40,0.1134,66.51,1914.8,0.001
adamw,41,0.1121,67.75,1962.7,0.001
adamw,42,0.1069,67.08,2010.7,0.001
adamw,43,0.1102,66.46,2058.8,0.001
adamw,44,0.1027,67.81,2106.4,0.001
adamw,45,0.1017,67.66,2154.4,0.001
adamw,46,0.0923,67.43,2202.1,0.001
adamw,47,0.0975,67.16,2250.1,0.001
adamw,48,0.0903,68.24,2297.9,0.001
adamw,49,0.0950,68.41,2345.5,0.001
adamw,50,0.0909,67.86,2392.9,0.001
sam,1,3.8764,14.98,91.7,0.05
sam,2,3.1960,25.38,183.5,0.05
sam,3,2.6941,34.18,274.8,0.05
sam,4,2.2803,41.44,366.3,0.05
sam,5,1.9804,47.42,457.8,0.05
sam,6,1.7759,49.75,549.4,0.05
sam,7,1.6081,50.96,641.1,0.05
sam,8,1.4872,56.04,732.7,0.05
sam,9,1.3902,56.91,824.8,0.05
sam,10,1.2946,58.03,916.5,0.05
sam,11,1.2224,58.34,1008.3,0.05
sam,12,1.1625,59.97,1100.2,0.05
sam,13,1.1130,61.16,1191.9,0.05
sam,14,1.0601,61.32,1283.5,0.05
sam,15,1.0212,61.83,1374.8,0.05
sam,16,0.9933,63.10,1466.1,0.05
sam,17,0.9520,62.98,1557.6,0.05
sam,18,0.9215,62.83,1649.1,0.05
sam,19,0.8947,64.22,1740.5,0.05
sam,20,0.8635,63.65,1831.8,0.05
sam,21,0.8412,63.84,1923.0,0.05
sam,22,0.8244,63.75,2014.1,0.05
sam,23,0.7901,63.49,2105.1,0.05
sam,24,0.7789,63.75,2196.2,0.05
sam,25,0.7622,65.95,2287.3,0.05
sam,26,0.7470,66.45,2378.5,0.05
sam,27,0.7256,64.83,2469.7,0.05
sam,28,0.7197,65.98,2560.8,0.05
sam,29,0.6914,66.16,2651.9,0.05
sam,30,0.6857,65.98,2742.9,0.05
sam,31,0.6700,66.49,2833.8,0.05
sam,32,0.6594,67.23,2924.8,0.05
sam,33,0.6496,66.44,3015.9,0.05
sam,34,0.6395,65.53,3107.1,0.05
sam,35,0.6255,66.20,3198.4,0.05
sam,36,0.6279,64.43,3289.7,0.05
sam,37,0.6080,65.92,3381.0,0.05
sam,38,0.5953,65.25,3472.4,0.05
sam,39,0.5924,66.27,3564.1,0.05
sam,40,0.5953,66.78,3655.7,0.05
sam,41,0.5693,66.25,3747.3,0.05
sam,42,0.5707,66.05,3839.0,0.05
sam,43,0.5636,65.14,3930.7,0.05
sam,44,0.5652,67.62,4022.2,0.05
sam,45,0.5504,67.13,4113.8,0.05
sam,46,0.5536,63.26,4205.0,0.05
sam,47,0.5438,67.60,4295.8,0.05
sam,48,0.5299,65.65,4387.0,0.05
sam,49,0.5448,64.93,4478.2,0.05
sam,50,0.5308,66.83,4569.4,0.05
